Product code,Bureau of Meteorology station number,Year,Month,Mean minimum temperature (°C),Quality
IDCJAC0004,023034,1985,06,7.6,Y
IDCJAC0004,023034,1985,07,6.8,Y
IDCJAC0004,023034,1985,08,8.1,Y
IDCJAC0004,023034,1985,09,7.4,Y
IDCJAC0004,023034,1985,10,11.3,Y
IDCJAC0004,023034,1985,11,13.1,Y
IDCJAC0004,023034,1985,12,14.2,Y
IDCJAC0004,023034,1986,01,13.6,Y
IDCJAC0004,023034,1986,02,14.8,Y
IDCJAC0004,023034,1986,03,15.3,Y
IDCJAC0004,023034,1986,04,11.7,Y
IDCJAC0004,023034,1986,05,9.9,Y
IDCJAC0004,023034,1986,06,7.4,Y
IDCJAC0004,023034,1986,07,7.2,Y
IDCJAC0004,023034,1986,08,8.0,Y
IDCJAC0004,023034,1986,09,9.1,Y
IDCJAC0004,023034,1986,10,9.7,Y
IDCJAC0004,023034,1986,11,11.6,Y
IDCJAC0004,023034,1986,12,13.5,Y
IDCJAC0004,023034,1987,01,13.8,Y
IDCJAC0004,023034,1987,02,15.6,Y
IDCJAC0004,023034,1987,03,12.9,Y
IDCJAC0004,023034,1987,04,11.5,Y
IDCJAC0004,023034,1987,05,10.5,Y
IDCJAC0004,023034,1987,06,8.0,Y
IDCJAC0004,023034,1987,07,5.7,Y
IDCJAC0004,023034,1987,08,7.9,Y
IDCJAC0004,023034,1987,09,8.8,Y
IDCJAC0004,023034,1987,10,10.1,Y
IDCJAC0004,023034,1987,11,13.5,Y
IDCJAC0004,023034,1987,12,14.8,Y
IDCJAC0004,023034,1988,01,16.3,Y
IDCJAC0004,023034,1988,02,15.0,Y
IDCJAC0004,023034,1988,03,15.7,Y
IDCJAC0004,023034,1988,04,11.4,Y
IDCJAC0004,023034,1988,05,11.4,Y
IDCJAC0004,023034,1988,06,8.5,Y
IDCJAC0004,023034,1988,07,7.6,Y
IDCJAC0004,023034,1988,08,8.0,Y
IDCJAC0004,023034,1988,09,9.4,Y
IDCJAC0004,023034,1988,10,11.7,Y
IDCJAC0004,023034,1988,11,12.6,Y
IDCJAC0004,023034,1988,12,15.5,Y
IDCJAC0004,023034,1989,01,16.5,Y
IDCJAC0004,023034,1989,02,15.7,Y
IDCJAC0004,023034,1989,03,17.2,Y
IDCJAC0004,023034,1989,04,12.6,Y
IDCJAC0004,023034,1989,05,10.8,Y
IDCJAC0004,023034,1989,06,6.8,Y
IDCJAC0004,023034,1989,07,6.0,Y
IDCJAC0004,023034,1989,08,7.0,Y
IDCJAC0004,023034,1989,09,8.4,Y
IDCJAC0004,023034,1989,10,10.8,Y
IDCJAC0004,023034,1989,11,13.3,Y
IDCJAC0004,023034,1989,12,15.5,Y
IDCJAC0004,023034,1990,01,16.2,Y
IDCJAC0004,023034,1990,02,15.9,Y
IDCJAC0004,023034,1990,03,16.0,Y
IDCJAC0004,023034,1990,04,12.2,Y
IDCJAC0004,023034,1990,05,10.2,Y
IDCJAC0004,023034,1990,06,7.8,Y
IDCJAC0004,023034,1990,07,8.3,Y
