Product code,Bureau of Meteorology station number,Year,Month,Mean maximum temperature (°C),Quality
IDCJAC0002,023034,1983,03,25.2,Y
IDCJAC0002,023034,1983,04,19.6,Y
IDCJAC0002,023034,1983,05,18.0,Y
IDCJAC0002,023034,1983,06,15.7,Y
IDCJAC0002,023034,1983,07,14.1,Y
IDCJAC0002,023034,1983,08,16.6,Y
IDCJAC0002,023034,1983,09,17.9,Y
IDCJAC0002,023034,1983,10,20.9,Y
IDCJAC0002,023034,1983,11,23.9,Y
IDCJAC0002,023034,1983,12,27.7,Y
IDCJAC0002,023034,1984,01,26.5,Y
IDCJAC0002,023034,1984,02,27.7,Y
IDCJAC0002,023034,1984,03,24.8,Y
IDCJAC0002,023034,1984,04,21.1,Y
IDCJAC0002,023034,1984,05,19.6,Y
IDCJAC0002,023034,1984,06,16.2,Y
IDCJAC0002,023034,1984,07,14.0,Y
IDCJAC0002,023034,1984,08,15.5,Y
IDCJAC0002,023034,1984,09,16.0,Y
IDCJAC0002,023034,1984,10,20.8,Y
IDCJAC0002,023034,1984,11,23.4,Y
IDCJAC0002,023034,1984,12,26.1,Y
IDCJAC0002,023034,1985,01,27.6,Y
IDCJAC0002,023034,1985,02,28.0,Y
IDCJAC0002,023034,1985,03,26.8,Y
IDCJAC0002,023034,1985,04,22.7,Y
IDCJAC0002,023034,1985,05,18.7,Y
IDCJAC0002,023034,1985,06,15.7,Y
IDCJAC0002,023034,1985,07,15.4,Y
IDCJAC0002,023034,1985,08,15.7,Y
IDCJAC0002,023034,1985,09,17.2,Y
IDCJAC0002,023034,1985,10,21.1,Y
IDCJAC0002,023034,1985,11,23.5,Y
IDCJAC0002,023034,1985,12,23.8,Y
IDCJAC0002,023034,1986,01,26.5,Y
IDCJAC0002,023034,1986,02,26.2,Y
IDCJAC0002,023034,1986,03,27.9,Y
IDCJAC0002,023034,1986,04,21.7,Y
IDCJAC0002,023034,1986,05,18.7,Y
IDCJAC0002,023034,1986,06,15.7,Y
IDCJAC0002,023034,1986,07,14.0,Y
IDCJAC0002,023034,1986,08,15.5,Y
IDCJAC0002,023034,1986,09,17.2,Y
IDCJAC0002,023034,1986,10,19.2,Y
IDCJAC0002,023034,1986,11,23.7,Y
